name,surname,email,gender,birthdate,joindate,active
Åsa,Johnsson,Asa.Johnsson@myclub.se,kvinna,1960-02-21,1970-02-21,1
Andreas,Gustafsson,Andreas.Gustafsson@myclub.se,man,1986-10-01,1996-10-01,1
Julia,Samuelsson,Julia.Samuelsson@myclub.se,kvinna,2004-11-04,2014-11-04,1
Simon,Johnsson,Simon.Holmberg@myclub.se,man,1998-04-12,2008-04-12,1
Elisabet,Pettsson,Elisabet.Pettsson@myclub.se,kvinna,1980-07-09,1990-07-09,1
Viktor,Lundgren,Viktor.Lundgren@myclub.se,man,1975-09-19,1985-09-19,1
Cecilia,Fredriksson,Cecilia.Fredriksson@myclub.se,kvinna,1981-04-27,1991-04-27,1
Patrik,Danielsson,Patrik.Danielsson@myclub.se,man,1963-08-15,1973-08-15,1
Anette,Holmberg,Anette.Holmberg@myclub.se,kvinna,1966-02-18,1976-02-18,1
Karl,Johnsson,Karl.Johnsson@myclub.se,man,1960-11-22,1970-11-22,1
Therese,Gunnarsson,Therese.Gunnarsson@myclub.se,kvinna,1990-04-21,2000-04-21,1
Carl,Berg,Carl.Berg@myclub.se,man,2001-06-17,2011-06-17,1
Julia,Nilsson,Julia.Nilsson@myclub.se,kvinna,1974-07-25,1984-07-25,1
Erik,Johnsson,Erik.Mårtensson@myclub.se,man,1992-07-15,2002-07-15,1
Ulla,Eklund,Ulla.Eklund@myclub.se,kvinna,1990-01-08,2000-01-08,1
Michael,Fredriksson,Michael.Fredriksson@myclub.se,man,2008-11-04,2018-11-04,1
Margaretha,Lundgren,Margaretha.Lundgren@myclub.se,kvinna,1971-06-11,1981-06-11,1
Patrik,Magnusson,Patrik.Magnusson@myclub.se,man,2005-11-04,2015-11-04,1
Matilda,Holm,Matilda.Holm@myclub.se,kvinna,1998-01-02,2008-01-02,1
Robert,Forsberg,Robert.Forsberg@myclub.se,man,2006-11-23,2016-11-23,1
Margaretha,Lind,Margaretha.Lind@myclub.se,kvinna,1962-02-19,1972-02-19,1
Per,Nyberg,Per.Nyberg@myclub.se,man,2001-03-06,2011-03-06,1
Emma,Engström,Emma.Engström@myclub.se,kvinna,1978-04-18,1988-04-18,1
